0,1,0,1
[ 5.4293914   0.46548125  6.38439079 17.36732167],"                0
count   50.000000
mean   969.316251
std      5.201599
min    965.848994
25%    965.943719
50%    966.439650
75%    971.195613
max    987.568635",[ 5.17757189  0.48327787  6.55848481 16.22400349],"                 0
count    50.000000
mean    974.006814
std       9.549369
min     966.107095
25%     967.748957
50%     970.111778
75%     977.044098
max    1008.058184"
[-9.75791805  0.86097712  3.90477937 66.15998228],"                0
count   50.000000
mean   941.415245
std     16.236045
min    919.192891
25%    928.087917
50%    941.098618
75%    950.883216
max    990.421788",[-8.38630802  0.83975438  3.9933036  60.43243665],"                0
count   50.000000
mean   950.231398
std     12.970597
min    920.172853
25%    945.277730
50%    951.836115
75%    956.405247
max    993.038145"
[1.61996786 0.9788942  1.52150199 2.35247769],"                0
count   50.000000
mean   540.212481
std      1.601884
min    539.329039
25%    539.437839
50%    539.579572
75%    540.048582
max    546.951226",[1.6982646  0.93643662 1.48103699 2.08180477],"                0
count   50.000000
mean   540.751028
std      2.073411
min    539.355663
25%    539.532525
50%    539.826240
75%    541.140549
max    547.256525"
[ 6.47292557  0.38141947  6.07733553 15.6548655 ],"                0
count   50.000000
mean   248.318060
std      3.328262
min    246.766505
25%    246.816811
50%    247.103377
75%    248.611647
max    268.488857",[ 6.55447855  0.37811988  6.06212859 15.22903131],"                0
count   50.000000
mean   248.802591
std      2.311742
min    246.771222
25%    247.194504
50%    248.185207
75%    249.544411
max    259.678727"
[-3.79050854  0.79145889  4.6435239  76.21998172],"                0
count   50.000000
mean   234.900486
std      2.568724
min    233.244919
25%    233.559394
50%    233.887082
75%    234.799200
max    244.286218",[-3.60315435  0.78182298  4.73086955 77.45949854],"                0
count   50.000000
mean   234.494564
std      2.120532
min    233.260801
25%    233.609922
50%    233.934070
75%    234.131866
max    244.914399"
[2.71079013 0.21479148 0.80322134 2.36456132],"                0
count   50.000000
mean   141.736979
std      0.370555
min    141.348682
25%    141.496907
50%    141.570767
75%    141.833412
max    142.475330",[3.02996623 0.26880586 0.81932536 2.73763541],"                0
count   50.000000
mean   141.826592
std      0.380996
min    141.387273
25%    141.532119
50%    141.608195
75%    142.316313
max    142.490808"
